metric_group,metric,seed_or_agg,value,n,mean,std,ci_low,ci_high
primary,task_completion_ratio,seed_1,0.369792,,,,,
primary,time_above_minimum_useful,seed_1,0.489583,,,,,
primary,task_completion_ratio,seed_2,0.479167,,,,,
primary,time_above_minimum_useful,seed_2,0.630208,,,,,
primary,task_completion_ratio,seed_7,0.473958,,,,,
primary,time_above_minimum_useful,seed_7,0.609375,,,,,
primary,task_completion_ratio,seed_42,0.442709,,,,,
primary,time_above_minimum_useful,seed_42,0.583333,,,,,
primary,task_completion_ratio,aggregate,,4,0.44140650000000003,0.050384483818599016,0.361244786244609,0.5215682137553911
primary,time_above_minimum_useful,aggregate,,4,0.57812475,0.062064510569648415,0.4793801136836893,0.6768693863163106
secondary,outage_fraction,aggregate,,4,0.42187506249999995,0.062064468610394344,0.32313049294086255,0.5206196320591373
secondary,qoe_violation_fraction,aggregate,,4,0.42187506249999995,0.062064468610394344,0.32313049294086255,0.5206196320591373
secondary,energy_proxy_j,aggregate,,4,22.599787499999998,2.1041129039831334,19.252143869762833,25.947431130237163
secondary,mean_latency_ms,aggregate,,4,109.54129375,2.9057981733635443,104.9181688561786,114.16441864382139
secondary,mean_jitter_ms,aggregate,,4,59.61271875,1.597738844348343,57.07071624864179,62.15472125135821
secondary,packet_loss_proxy,aggregate,,4,0.42187506249999995,0.062064468610394344,0.32313049294086255,0.5206196320591373
secondary,throughput_proxy_mbps,aggregate,,4,2.8906312499999998,0.3103208745093535,2.3969107386556185,3.384351761344381
secondary,reliability,aggregate,,4,0.5781249375,0.062064468610394344,0.47938036794086264,0.6768695070591374
secondary,compute_completion_time_proxy,aggregate,,4,49.125,0.9673847907287637,47.58589079795054,50.66410920204946
